company,href,title,author,section,tags,published_time,description,lecture_time
C%26A,https://braziljournal.com/santander-aumenta-lucro-no-1o-tri-mas-segura-credito-ceo-ve-macro-complicado/,"Santander aumenta lucro no 1º tri mas segura crédito. CEO vê macro ""complicado""",Giuliana Napolitano,Negócios,"['Serviços financeiros', 'Crédito', 'Santander Brasil']",2025-04-30T11:36:28-03:00,O resultado do Santander Brasil no primeiro trimestre mostrou que o banco continua seguindo sua estratégia de crescimento com aumento de margens.,3 minutos
C%26A,https://braziljournal.com/eletrobras-barra-gasparino-e-emplaca-chapa-da-administracao/,Eletrobras barra Gasparino e emplaca chapa da administração,Ana Paula Ragazzi,Negócios,"['Governança corporativa', 'Eletrobras', 'Setor elétrico']",2025-04-29T19:03:55-03:00,"Em meio a drama, fofocas e uma guerra pública travada por um conselheiro, os acionistas da Eletrobras elegeram hoje o novo conselho de administração da",1 minuto
C%26A,https://braziljournal.com/grupo-salta-volta-aos-mas-e-vai-faturar-r-3-bi-este-ano/,Grupo Salta volta aos M&As e vai faturar R$ 3 bi este ano,Pedro Arbex,Negócios,"['Educação', 'Grupo Salta Educação', 'Estratégia corporativa', 'Grupo SEB', 'Bahema Educação']",2025-04-29T06:50:24-03:00,"O Grupo Salta -- a maior rede de educação básica do País com 170 mil alunos -- acaba de fazer uma aquisição em Fortaleza, comprando a rede Antares, que tem 10",4 minutos
WEG,https://braziljournal.com/politicas-de-trump-vao-demandar-transformadores-da-weg/,"Políticas de Trump vão demandar transformadores da WEG, aposta BTG",André Jankavski,Negócios,"['Research', 'WEG', 'Trump']",2025-02-17T12:07:44-03:00,A ”reindustrialização” dos Estados Unidos prometida por Donald Trump pode ser a maior fronteira de crescimento para a WEG nos próximos anos,2 minutos
WEG,https://braziljournal.com/play/por-que-a-weg-esta-sempre-cara-mas-continua-subindo/,Por que a WEG está sempre cara – mas continua subindo,,Negócios,"['Insights', 'Bolsa de Valores', 'WEG', 'Gestores']",,A ação da WEG é um exemplo daquelas que sobem tanto que a maioria dos investidores não investe por achar cara – mas não para de valorizar,
WEG,https://braziljournal.com/weg-fornece-r-360-milhoes-em-equipamentos-para-o-campo-de-buzios/,WEG fornece R$ 360 milhões em equipamentos para o Campo de Búzios,Brazil Journal,Negócios,"['Petróleo', 'WEG']",2024-05-24T11:14:29-03:00,"A WEG está fornecendo geradores e motores elétricos para as plataformas do Campo de Búzios, o maior campo offshore em águas profundas do mundo – num momento",1 minuto
WEG,https://braziljournal.com/um-ma-para-acabar-com-o-gargalo-na-producao-do-wegovy-e-ozempic/,Um M&A para acabar com o gargalo na produção do Wegovy e Ozempic,Giuliano Guandalini,Negócios,"['Saúde', 'Novo Nordisk', 'Farmacêuticas']",2024-02-05T15:44:49-03:00,"A Novo Holdings, controladora da Novo Nordisk, está pagando US$ 16,5 bilhões pela fabricante de medicamentos americana Catalent, em um investimento para",1 minuto
WEG,https://braziljournal.com/weg-faz-sua-maior-aquisicao-investe-r-2-bi-para-crescer-em-motores-e-geradores/,WEG faz sua maior aquisição; investe R$ 2 bi para crescer em motores e geradores,Pedro Arbex,Negócios,"['Estratégia corporativa', 'WEG']",2023-09-25T13:01:02-03:00,"A WEG está comprando a divisão de motores industriais e geradores da Regal Rexnord — o maior M&A de sua história, e uma transação que vai aumentar a",4 minutos
WEG,https://braziljournal.com/weg-faz-parcerias-de-r-14-bi-em-autogeracao-eolica/,"WEG faz parcerias de R$ 1,4 bi em autogeração eólica",Pedro Arbex,ESG JOURNAL,"['WEG', 'Setor elétrico']",2023-07-06T12:55:15-03:00,A WEG fechou duas parcerias para a autoprodução de energia eólica -- um movimento que deve ajudar a gigante industrial a reduzir seus custos com eletricidade,2 minutos
WEG,https://braziljournal.com/weg-leva-um-raro-downgrade-no-itau/,WEG leva um (raro) downgrade no Itaú,Brazil Journal,Negócios,"['Research', 'WEG']",2023-05-03T16:20:49-03:00,“Até os melhores têm de desacelerar em algum momento”.,2 minutos
WEG,https://braziljournal.com/o-plano-da-weg-para-o-mercado-de-carregadores-eletricos/,O plano da WEG para o mercado de carregadores elétricos,Pedro Arbex,Negócios,"['Carro elétrico', 'WEG', 'GWM']",2023-04-05T16:07:01-03:00,A montadora chinesa Great Wall Motors fechou um contrato de exclusividade com a WEG para o fornecimento de carregadores elétricos no Brasil. ,2 minutos
WEG,https://braziljournal.com/weg-quer-dominar-producao-de-baterias-de-litio/,WEG quer dominar produção de baterias de lítio,Pedro Arbex,ESG JOURNAL,"['ESG Journal', 'WEG']",2023-02-28T13:42:10-03:00,A WEG vai investir R$ 100 mi para expandir sua capacidade de produção de packs de baterias de lítio -- um mercado em franca ascensão.,2 minutos
WEG,https://braziljournal.com/weg-e-melhor-lugar-pra-se-esconder-diz-itau/,"WEG é “melhor lugar pra se esconder,” diz Itaú",Brazil Journal,Negócios,"['Research', 'WEG']",2022-12-16T13:37:36-03:00,A coisa tá tão braba que o jeito de vender uma ação na Bolsa é promovê-la como “o melhor lugar para se esconder.”,2 minutos
WEG,https://braziljournal.com/play/cesar-maia-uma-visao-de-austeridade-e-urbanismo-para-o-rio/,Cesar Maia: uma visão de austeridade e urbanismo para o Rio ,,Podcasts,"['Lado B', 'Podcasts', 'Economia', 'Rio de Janeiro']",,,
WEG,https://braziljournal.com/ronaldo-cezar-coelho-vendi-a-alma-pelo-que-me-disseram-que-daria-certo/,Ronaldo Cezar Coelho: “Vendi a alma pelo que me disseram que daria certo”,bj-admin,Podcasts,"['The Business of Life', 'Podcasts', 'Vida Executiva', 'Gestores']",2025-05-02T00:32:30-03:00,"Por décadas, Ronaldo Cezar Coelho esteve no centro de alguns dos principais movimentos da economia e da política brasileira. ",1 minuto
WEG,https://braziljournal.com/o-chatgpt-agora-compara-produtos-e-precos-uma-dor-de-cabeca-para-o-google/,O ChatGPT agora compara produtos e preços. Uma dor de cabeça para o Google,Giuliano Guandalini,Tecnologia,"['Inteligência Artificial', 'Google', 'OpenAi', 'Varejo & Consumo']",2025-04-29T19:20:51-03:00,"Além de comparar produtos usando o ChatGPT, o usuário também já pode comprá-los usando a ferramenta de inteligência artificial.",1 minuto
WEG,https://braziljournal.com/santander-aumenta-lucro-no-1o-tri-mas-segura-credito-ceo-ve-macro-complicado/,"Santander aumenta lucro no 1º tri mas segura crédito. CEO vê macro ""complicado""",Giuliana Napolitano,Negócios,"['Serviços financeiros', 'Crédito', 'Santander Brasil']",2025-04-30T11:36:28-03:00,O resultado do Santander Brasil no primeiro trimestre mostrou que o banco continua seguindo sua estratégia de crescimento com aumento de margens.,3 minutos
WEG,https://braziljournal.com/eletrobras-barra-gasparino-e-emplaca-chapa-da-administracao/,Eletrobras barra Gasparino e emplaca chapa da administração,Ana Paula Ragazzi,Negócios,"['Governança corporativa', 'Eletrobras', 'Setor elétrico']",2025-04-29T19:03:55-03:00,"Em meio a drama, fofocas e uma guerra pública travada por um conselheiro, os acionistas da Eletrobras elegeram hoje o novo conselho de administração da",1 minuto
WEG,https://braziljournal.com/grupo-salta-volta-aos-mas-e-vai-faturar-r-3-bi-este-ano/,Grupo Salta volta aos M&As e vai faturar R$ 3 bi este ano,Pedro Arbex,Negócios,"['Educação', 'Grupo Salta Educação', 'Estratégia corporativa', 'Grupo SEB', 'Bahema Educação']",2025-04-29T06:50:24-03:00,"O Grupo Salta -- a maior rede de educação básica do País com 170 mil alunos -- acaba de fazer uma aquisição em Fortaleza, comprando a rede Antares, que tem 10",4 minutos
